takeoff_name,telegram_group_name,telegram_group_link,exclude,notes,site_guide,elevation,takeoff_lon,takeoff_lat
Meall Amhadaidh,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,NA,NA,NA,464.63,-4.2764,56.395415
Suidh A Mhinn,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,NA,NA,NA,280.39,-6.35319,57.63479
Tap Onoth,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,NA,NA,NA,543.17,-2.85748,57.3503
Bache,Mid Wales & Mynd,https://t.me/joinchat/RuC0kVJ1ygY2OTY8,TRUE,Site guide lists as closed,https://paraglidingwales.co.uk/bache-hill/,521.29,-3.142735,52.2653
Backbarrow,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,NA,NA,NA,279.1,-3.343665,54.44115
Balladen,Pennines & Dales,https://t.me/joinchat/NcCY7NcPJ3lkMTZk,NA,NA,http://www.penninesoaringclub.org.uk/sites/balladen/,359.26,-2.27285,53.68761
Ballard Down,West,https://t.me/joinchat/xxEzm4aeX6dhNTJk,NA,NA,http://www.wessexhgpg.org.uk/Sites/Siteguide/FullSiteGuide.pdf,113.18,-1.94635,50.63087
Balquhidder,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,NA,NA,NA,564.95,-4.34925,56.36606
Balquhider,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,NA,NA,NA,273.93,-4.42514,56.358235
Bank Hill,Borders,https://t.me/joinchat/gQNkjnuA51IwOTg0,NA,NA,NA,322.94,-3.686185,56.17283
Barf,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,NA,NA,NA,465.95,-3.2179,54.62967
Barkin,Pennines & Dales,https://t.me/joinchat/NcCY7NcPJ3lkMTZk,NA,NA,http://www.cumbriasoaringclub.co.uk/SiteManagement/CSC_Specific_Site.php?site=BKF,478.86,-2.498085,54.276305
Barton Fell,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,NA,NA,http://www.cumbriasoaringclub.co.uk/SiteManagement/CSC_Specific_Site.php?site=BRF,414.62,-2.82593,54.58517
Barton On Sea,West,https://t.me/joinchat/xxEzm4aeX6dhNTJk,NA,NA,http://www.wessexhgpg.org.uk/Sites/Siteguide/FullSiteGuide.pdf,32.19,-1.65853,50.73524
Batcombe,West,https://t.me/joinchat/xxEzm4aeX6dhNTJk,NA,NA,NA,243.91,-2.51013,50.84403
Beardown,South West,https://t.me/joinchat/yg6UPwjHlFNhOGVk,NA,NA,NA,442.42,-3.96795,50.57238
Beeftub,Borders,https://t.me/joinchat/gQNkjnuA51IwOTg0,NA,NA,NA,389.92,-3.49012,55.40067
Beer Head,South West,https://t.me/joinchat/yg6UPwjHlFNhOGVk,NA,NA,NA,114.17,-3.10112,50.68713
Beinn A'chait,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,NA,NA,NA,750.05,-3.862515,56.84425
Beinn A Chaorainn,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,NA,NA,NA,814.68,-4.65657,56.918
Beinn A Muice,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,NA,NA,NA,518.24,-4.951625,57.41789
Beinn Dorain,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,NA,NA,NA,831.22,-4.72987,56.51697
Beinn Eighe,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,NA,NA,NA,835.1,-5.38462,57.58387
Beinn Leabhainn,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,NA,NA,NA,559.26,-4.32405,56.42644
Beinn Lutharn Bheag,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,NA,NA,NA,914.08,-3.53437,56.89547
Beinn Na Feusaige,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,NA,NA,NA,576.67,-5.18294,57.53746
Beinn Narnain,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,NA,NA,NA,787.49,-4.78079,56.218045
Bell Hill,West,https://t.me/joinchat/xxEzm4aeX6dhNTJk,NA,NA,http://www.wessexhgpg.org.uk/Sites/SiteGuide/BellHill.pdf,227.36,-2.28855,50.8761
Belstone,South West,https://t.me/joinchat/yg6UPwjHlFNhOGVk,NA,NA,https://sdhgpc.org.uk/sites/belstone,405.94,-3.96592,50.69908
Ben Gulabin,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,NA,NA,NA,740.46,-3.4723,56.8306
Ben Hiel,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,NA,NA,NA,422.16,-4.398025,58.416055
Ben Lawers,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,NA,NA,NA,845.09,-4.24297,56.5277
Ben Ledi,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,NA,NA,NA,646.87,-4.30922,56.25059
Ben Luibhean,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,NA,NA,NA,647.38,-4.84298,56.22953
Ben More,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,NA,NA,NA,1081.03,-4.542525,56.385595
Ben Nevis,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,NA,NA,NA,1330.8,-5.00398,56.79638
Ben Reid,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,NA,NA,NA,749.37,-3.118025,56.860225
Ben Rinnes,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,NA,NA,NA,796.23,-3.239035,57.403135
Ben Tirran,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,NA,NA,NA,746.49,-3.03435,56.84645
Ben Toaig,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,NA,NA,NA,612.36,-4.83574,56.559805
Ben Uarie,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,NA,NA,NA,465.35,-3.81967,58.12663
Ben Vorlich,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,NA,NA,NA,569.27,-4.245115,56.366585
Ben Wyvis,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,NA,NA,NA,572.08,-4.55451,57.682625
Bewaldeth,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,NA,NA,http://www.cumbriasoaringclub.co.uk/SiteManagement/CSC_Specific_Site.php?site=BWD,282.49,-3.22439,54.714535
Bin Of Cullen,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,NA,NA,NA,297.49,-2.87393,57.66573
Birks Hill,Borders,https://t.me/joinchat/gQNkjnuA51IwOTg0,NA,NA,NA,521.31,-3.13455,55.58999
Bishop,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,NA,NA,NA,400.45,-3.31957,56.21678
Black Combe,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,NA,NA,http://www.cumbriasoaringclub.co.uk/SiteManagement/CSC_Specific_Site.php?site=BCE,253.88,-3.35297,54.26295
Black Combe East,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,NA,NA,NA,403.74,-3.317135,54.253165
Black Craig,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,NA,NA,NA,440.04,-4.35264,55.22767
Black Hill,South Wales,https://t.me/joinchat/ksosguoLjyI0ZGFk,NA,NA,NA,603.42,-3.05463,52.00213
Black Mount,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,NA,NA,NA,416.79,-4.73331,56.586475
Blackers Hole,West,https://t.me/joinchat/xxEzm4aeX6dhNTJk,NA,NA,NA,109.46,-1.9853,50.59345
Blackmount,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,NA,NA,NA,476.45,-4.76467,56.58578
Blaenavon (Gb),South Wales,https://t.me/joinchat/ksosguoLjyI0ZGFk,NA,NA,NA,529.53,-3.13877,51.78122
Blease Fell,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,NA,NA,http://www.cumbriasoaringclub.co.uk/SiteManagement/CSC_Specific_Site.php?site=BLF,503.18,-3.07365,54.62548
Blencathra,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,NA,NA,NA,846.38,-3.05068,54.6401
Blorenge,South Wales,https://t.me/joinchat/ksosguoLjyI0ZGFk,NA,NA,NA,502.25,-3.0512,51.80443
Blua Crags,Pennines & Dales,https://t.me/joinchat/NcCY7NcPJ3lkMTZk,TRUE,Active Edge school site,NA,370.08,-2.26176,54.069315
Bo Peep,South East,https://t.me/joinchat/GOaWSlE5YAswZjc0,NA,NA,https://shgc.org.uk/siteguidepdf,170.35,0.1285,50.82066
Bodesbeck Law,Borders,https://t.me/joinchat/gQNkjnuA51IwOTg0,NA,NA,http://www.wingbeat-paragliding.co.uk/index.php/sites/bodesbeck,612.37,-3.314925,55.37974
Bow Scale Tarn,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,NA,NA,NA,587.29,-3.0308,54.67045
Bowfell,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,NA,NA,NA,860.88,-3.1781,54.4572
Bradwell,Central,https://t.me/joinchat/5iHr6hnc-gI4MDg0,NA,NA,https://derbyshiresoaringclub.org.uk/site-guide/bradwell,364.13,-1.73005,53.321
Braemore Junction,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,NA,NA,NA,591.49,-4.99636,57.76404
Brant Side,Pennines & Dales,https://t.me/joinchat/NcCY7NcPJ3lkMTZk,NA,NA,NA,505,-2.3437,54.2758
Bratton,West,https://t.me/joinchat/xxEzm4aeX6dhNTJk,NA,NA,NA,207.26,-2.14507,51.26413
Bridlington,North East,https://t.me/joinchat/1uCqybLRETIyNTRk,NA,NA,https://cayleyparagliding.co.uk/paragliding-bridlington/,15.92,-0.17363,54.0955
Brighstone,Isle of Wight,https://t.me/joinchat/tSmGEGKwsGpkMTg0,NA,NA,https://flywight.extremelynice.net/wp/wp-content/uploads/2017/03/iowhgpc-sites-guide_2019_03.pdf,193.17,-1.38317,50.65169
Brigsteer,Pennines & Dales,https://t.me/joinchat/NcCY7NcPJ3lkMTZk,NA,NA,http://www.cumbriasoaringclub.co.uk/SiteManagement/CSC_Specific_Site.php?site=BRG,116.17,-2.79064,54.29617
Broadlee Bank,Central,https://t.me/joinchat/5iHr6hnc-gI4MDg0,NA,NA,https://derbyshiresoaringclub.org.uk/site-guide/broadlee-bank/,510.75,-1.83582,53.37
Broughton Heights,Borders,https://t.me/joinchat/gQNkjnuA51IwOTg0,NA,NA,NA,484.9,-3.40388,55.66144
Brownber Hill,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,NA,NA,NA,507.68,-2.45711,54.648575
Bruthac Nan Uamh,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,NA,NA,NA,436.8,-4.99246,57.1652
Bryn Banog,North Wales,https://t.me/joinchat/tP6m0r9gNJJmOTM8,NA,NA,NA,471.76,-4.12414,52.98795
Bryncaws,South Wales,https://t.me/joinchat/ksosguoLjyI0ZGFk,NA,NA,NA,359.12,-3.78954,51.71236
Buck Of Cabrach,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,NA,NA,NA,677.15,-2.97968,57.29813
Bunster,Central,https://t.me/joinchat/5iHr6hnc-gI4MDg0,NA,NA,https://www.paraguide.uk/guides/Bunster.pdf,303.05,-1.791695,53.06035
Burger Van,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,NA,NA,NA,535.04,-4.324195,56.430315
Burn Fell,Pennines & Dales,https://t.me/joinchat/NcCY7NcPJ3lkMTZk,NA,NA,NA,377.92,-2.49325,53.97338
Burnbank,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,NA,NA,http://www.cumbriasoaringclub.co.uk/SiteManagement/CSC_Specific_Site.php?site=BNB,405.43,-3.37201,54.57997
Burney,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,NA,NA,http://www.cumbriasoaringclub.co.uk/SiteManagement/CSC_Specific_Site.php?site=BNF,243.2,-3.13794,54.26124
Butser West,South East,https://t.me/joinchat/GOaWSlE5YAswZjc0,NA,NA,http://skysurfingclub.co.uk/sites-guide/,237.08,-0.98785,50.97682
Buttermere Moss,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,NA,NA,http://www.cumbriasoaringclub.co.uk/SiteManagement/CSC_Specific_Site.php?site=BTM,509.52,-3.257675,54.542225
Cacra,Borders,https://t.me/joinchat/gQNkjnuA51IwOTg0,NA,NA,http://www.wingbeat-paragliding.co.uk/index.php/sites/cacra-bank,443.17,-3.07375,55.4435
Cairn An Righ,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,NA,NA,NA,889.76,-3.610235,56.87479
Cairn O Mount,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,NA,NA,NA,420.1,-2.575745,56.914
Cairn Vaich,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,NA,NA,NA,720.16,-3.266205,57.179775
Cairngorm,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,NA,NA,NA,1200.34,-3.64523,57.11905
Cairnwell,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,NA,NA,NA,863.86,-3.42092,56.87667
Camlo,Mid Wales & Mynd,https://t.me/joinchat/RuC0kVJ1ygY2OTY8,NA,NA,NA,440.86,-3.42097,52.32208
Campsie Fells,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,NA,NA,NA,302.85,-4.218045,55.992965
Captain Cooks,North East,https://t.me/joinchat/1uCqybLRETIyNTRk,NA,NA,NA,322.04,-1.09143,54.48282
Cardon Hill,Borders,https://t.me/joinchat/gQNkjnuA51IwOTg0,NA,NA,NA,619.28,-3.48178,55.57002
Carlton Bank,North East,https://t.me/joinchat/1uCqybLRETIyNTRk,NA,NA,NA,383.38,-1.20225,54.4155
Carn Ban,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,NA,NA,NA,507.36,-4.78808,57.42762
Carn Brea,South West,https://t.me/joinchat/yg6UPwjHlFNhOGVk,NA,NA,NA,202.26,-5.2496,50.221315
Carn Dubh,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,NA,NA,NA,720.51,-4.44227,57.00037
Carn Ghluasaid,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,NA,NA,NA,613.23,-5.075125,57.15604
Carn Liath,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,NA,NA,NA,850.38,-3.74793,56.80353
Carn Moine,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,NA,NA,NA,576.48,-3.27857,57.0533
Carn Na Caim,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,NA,NA,NA,759.35,-4.183075,56.9202
Carn Nam Feuaich,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,NA,NA,NA,701.37,-5.017715,57.166375
Carrock Fell,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,NA,NA,http://www.cumbriasoaringclub.co.uk/SiteManagement/CSC_Specific_Site.php?site=CRF,445.79,-3.015975,54.69762
Catacol,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,NA,NA,NA,196.61,-5.31787,55.69668
Catbells,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,NA,NA,NA,311.94,-3.16953,54.57328
Cats Tor,Central,https://t.me/joinchat/5iHr6hnc-gI4MDg0,NA,NA,https://derbyshiresoaringclub.org.uk/site-guide/cats-tor/,503.24,-2.00997,53.28013
Cautley,Pennines & Dales,https://t.me/joinchat/NcCY7NcPJ3lkMTZk,NA,NA,NA,254.27,-2.481585,54.37131
Chalton,South East,https://t.me/joinchat/GOaWSlE5YAswZjc0,NA,NA,NA,118.1,-0.954245,50.929515
Charmouth,South West,https://t.me/joinchat/yg6UPwjHlFNhOGVk,NA,NA,NA,23.56,-2.89324,50.733045
Cherhill,West,https://t.me/joinchat/xxEzm4aeX6dhNTJk,NA,NA,NA,203.7,-1.93176,51.42457
Chillerton,Isle of Wight,https://t.me/joinchat/tSmGEGKwsGpkMTg0,NA,NA,https://flywight.extremelynice.net/wp/wp-content/uploads/2017/03/iowhgpc-sites-guide_2019_03.pdf,142.39,-1.32695,50.647735
Chinkwell Tor,South West,https://t.me/joinchat/yg6UPwjHlFNhOGVk,NA,NA,https://sdhgpc.org.uk/sites/chinkwell,440.51,-3.797265,50.588645
Chinnor,Dunstable,https://t.me/+zpCRlLWf29RmNTRk,NA,NA,https://dunstablehpc.com/site-guides/chinnor-site-guide/,225.66,-0.89113,51.69957
Choinneachain Hill,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,NA,NA,NA,474.52,-3.91312,56.42272
Clatter,Mid Wales & Mynd,https://t.me/joinchat/RuC0kVJ1ygY2OTY8,NA,NA,NA,383.91,-3.469925,52.557375
Clough Head,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,NA,NA,http://www.cumbriasoaringclub.co.uk/SiteManagement/CSC_Specific_Site.php?site=CLH,442.43,-3.04325,54.5974
Cock Up,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,NA,NA,NA,491.1,-3.15,54.673275
Cocking Tor,Central,https://t.me/joinchat/5iHr6hnc-gI4MDg0,NA,NA,https://derbyshiresoaringclub.org.uk/site-guide/cocking-tor/,280.46,-1.4824600000000001,53.1431
Codden Hill,South West,https://t.me/joinchat/yg6UPwjHlFNhOGVk,NA,NA,https://ndhpc.co.uk/sites_guide/codden_hill_guide,178.11,-4.02324,51.04903
Cogden,South West,https://t.me/joinchat/yg6UPwjHlFNhOGVk,NA,NA,NA,26.69,-2.717035,50.694735
Coiliochbhar,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,NA,NA,NA,493.39,-2.81837,57.23063
Coire Nan Cisteachan,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,NA,NA,NA,866.06,-4.20522,56.89856
Combe Gibbet,West,https://t.me/joinchat/xxEzm4aeX6dhNTJk,NA,NA,https://www.tvhgc.co.uk/combe-gibbet,266.48,-1.480475,51.35858
Compton Reds,Isle of Wight,https://t.me/joinchat/tSmGEGKwsGpkMTg0,NA,NA,https://flywight.extremelynice.net/wp/wp-content/uploads/2017/03/iowhgpc-sites-guide_2019_03.pdf,43.34,-1.473465,50.662695
Coniston Old Man,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,NA,NA,http://www.cumbriasoaringclub.co.uk/SiteManagement/CSC_Specific_Site.php?site=COM,634.91,-3.11632,54.36845
Coombe,West,https://t.me/joinchat/xxEzm4aeX6dhNTJk,NA,NA,NA,267.92,-1.47922,51.35865
Corn Ridge,South West,https://t.me/joinchat/yg6UPwjHlFNhOGVk,NA,NA,https://sdhgpc.org.uk/sites/corn-ridge,475.57,-4.04919,50.68646
Corndon,Mid Wales & Mynd,https://t.me/joinchat/RuC0kVJ1ygY2OTY8,NA,NA,http://www.longmynd.org/?page_id=272,478.68,-3.02,52.56568
Corney Fell,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,NA,NA,http://www.cumbriasoaringclub.co.uk/SiteManagement/CSC_Specific_Site.php?site=CNF,439.16,-3.32382,54.32188
Corton Denham,West,https://t.me/joinchat/xxEzm4aeX6dhNTJk,NA,NA,http://www.wessexhgpg.org.uk/Sites/Siteguide/FullSiteGuide.pdf,149.71,-2.524,51.007525
Cotterside,Pennines & Dales,https://t.me/joinchat/NcCY7NcPJ3lkMTZk,NA,NA,NA,468.03,-2.29659,54.3376
Cow Close Fell,Pennines & Dales,https://t.me/joinchat/NcCY7NcPJ3lkMTZk,NA,NA,https://www.dhpc.org.uk/site-guide/cow-close-fell,547.52,-2.17244,54.15457
Cowden,North East,https://t.me/joinchat/1uCqybLRETIyNTRk,NA,NA,NA,15.42,-0.12186,53.863075
Cowdown,South West,https://t.me/joinchat/yg6UPwjHlFNhOGVk,NA,NA,http://www.wessexhgpg.org.uk/Sites/Siteguide/FullSiteGuide.pdf,198.97,-2.51357,50.797005
Cowlod,Mid Wales & Mynd,https://t.me/joinchat/RuC0kVJ1ygY2OTY8,NA,NA,https://paraglidingwales.co.uk/cowlod/,461.62,-3.23585,52.26499
Crag Hill,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,NA,NA,NA,816.67,-3.24955,54.571785
Cragdale Moor,Pennines & Dales,https://t.me/joinchat/NcCY7NcPJ3lkMTZk,NA,NA,NA,592.38,-2.149665,54.24274
Craig Hulich,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,NA,NA,NA,527.85,-3.799075,56.518175
Craigellachie,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,NA,NA,NA,448.58,-3.85102,57.189015
Craiglich,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,NA,NA,NA,460.51,-2.77367,57.136735
Creag An Earbaill,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,NA,NA,NA,319.35,-5.55068,57.29197
Creag Dhubh,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,NA,NA,NA,665.64,-4.10193,57.10048
Creag Ghleannain,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,NA,NA,NA,549.81,-3.889825,57.17835
Creag Meagaidh,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,NA,NA,NA,628.66,-4.533125,56.95488
Creag Meageaidh,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,NA,NA,NA,762.31,-4.51507,56.9712
Creag Mhigeachaidh,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,NA,NA,NA,675.91,-3.865565,57.099135
Creag Na Caillich,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,NA,NA,NA,462.2,-4.346695,56.494375
Creag Nan Gabhar,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,NA,NA,NA,724.4,-3.40203,56.93675
Creag Ruadh,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,NA,NA,NA,431.3,-4.86833,57.5474
Creagan Gorm,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,NA,NA,NA,697.81,-3.695015,57.187535
Cringle,North East,https://t.me/joinchat/1uCqybLRETIyNTRk,NA,NA,NA,398.25,-1.17202,54.42112
Cross Fell,Borders,https://t.me/joinchat/gQNkjnuA51IwOTg0,NA,NA,NA,485.92,-2.52788,54.70137
Curbar,Central,https://t.me/joinchat/5iHr6hnc-gI4MDg0,NA,NA,https://derbyshiresoaringclub.org.uk/site-guide/curbar/,305.11,-1.61147,53.2694
Cwmafan,South Wales,https://t.me/joinchat/ksosguoLjyI0ZGFk,NA,NA,NA,299.03,-3.76633,51.62673
Cwmbran,South Wales,https://t.me/joinchat/ksosguoLjyI0ZGFk,NA,NA,NA,423.55,-3.05492,51.67538
Cyrniau,North Wales,https://t.me/joinchat/tP6m0r9gNJJmOTM8,NA,NA,NA,410.43,-3.40228,52.81572
Dale Head,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,NA,NA,https://derbyshiresoaringclub.org.uk/site-guide/dale-head/,736.72,-3.20282,54.52678
Dalefoot,Pennines & Dales,https://t.me/joinchat/NcCY7NcPJ3lkMTZk,NA,NA,NA,272.06,-2.33715,54.43709
Dalwhinnie,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,NA,NA,NA,813.02,-4.20859,56.8977
Deepdale,Pennines & Dales,https://t.me/joinchat/NcCY7NcPJ3lkMTZk,TRUE,Active Edge school site,NA,451.23,-2.4133,54.23792
Devils Dyke,South East,https://t.me/joinchat/GOaWSlE5YAswZjc0,NA,NA,https://shgc.org.uk/siteguidepdf,203.06,-0.21312,50.88575
Devonshaw Hill,Borders,https://t.me/joinchat/gQNkjnuA51IwOTg0,NA,NA,NA,356.85,-3.649395,55.541055
Didling Hill,South East,https://t.me/joinchat/GOaWSlE5YAswZjc0,NA,NA,NA,215.63,-0.821375,50.953315
Ditchling,South East,https://t.me/joinchat/GOaWSlE5YAswZjc0,NA,NA,https://shgc.org.uk/siteguidepdf,210.58,-0.103435,50.901035
Dodd Fell,Pennines & Dales,https://t.me/joinchat/NcCY7NcPJ3lkMTZk,NA,NA,https://www.dhpc.org.uk/site-guide/dodd-fell-grove-head,554.07,-2.26377,54.24897
Dollar,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,NA,NA,NA,331.7,-3.68507,56.17331
Drumochter,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,NA,NA,NA,896.97,-4.21493,56.8679
Dumyat,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,NA,NA,NA,343.81,-3.88057,56.1543
